web-scraper-order,web-scraper-start-url,Deputado,Gabinete,Contatos
"1694880903-21","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Chiara BiondiniPP","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 229","Tel(31) 2108-5440Fax(31) 2108-5441E-maildep.chiara.biondini@almg.gov.br"
"1694880903-22","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Coronel HenriquePL","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 20º andar  - Sala 01","Tel(31) 2108-5436Fax(31) 2108-5543E-maildep.coronel.henrique@almg.gov.br"
"1694880903-23","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Coronel SandroPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 230","Tel(31) 2108-5877Fax(31) 2108-5875E-maildep.coronel.sandro@almg.gov.br"
"1694880903-24","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Cristiano SilveiraPT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 17º andar - sala 1","Tel(31) 2108-5085Fax(31) 2108-5086E-maildep.cristiano.silveira@almg.gov.br"
"1694880903-25","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Delegada SheilaPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 213","Tel(31) 2108-5345Fax(31) 2108-5346E-maildep.delegada.sheila@almg.gov.br"
"1694880903-26","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Delegado Christiano XavierPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 206","Tel(31) 2108-5445Fax(31) 2108-5446E-maildep.delegado.christiano.xavier@almg.gov.br"
"1694880903-27","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Doorgal AndradaPATRIOTA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 105","Tel(31) 2108-5799Fax(31) 2108-5797E-maildep.doorgal.andrada@almg.gov.br"
"1694880903-28","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Douglas MeloPSD","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 18º andar - sala 2","Tel(31) 2108-5290Fax(31) 2108-5291E-maildep.douglas.melo@almg.gov.br"
"1694880903-29","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Doutor Jean FreirePT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 15º andar - sala 1","Tel(31) 2108-5150Fax(31) 2108-5151E-maildep.doutor.jean.freire@almg.gov.br"
"1694880903-30","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Doutor PauloPATRIOTA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 241","Tel(31) 2108-5925Fax(31) 2108-5926E-maildep.doutor.paulo@almg.gov.br"
"1694880903-31","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Doutor Wilson BatistaPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 210","Tel(31) 2108-5320Fax(31) 2108-5323E-maildep.doutor.wilson.batista@almg.gov.br"
"1694880903-32","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Dr. MaurícioNOVO","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 233","Tel(31) 2108-5170Fax(31) 2108-5169E-maildep.dr.mauricio@almg.gov.br"
"1694880903-33","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Duarte BechirPSD","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 2º andar - conjunto 215","Tel(31) 2108-5125Fax(31) 2108-5122E-maildep.duarte.bechir@almg.gov.br"
"1694880903-34","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Eduardo AzevedoPSC","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 21º andar - sala 1","Tel(31) 2108-5955Fax(31) 2108-5956E-maildep.eduardo.azevedo@almg.gov.br"
"1694880903-35","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Elismar PradoPROS","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 3º andar - sala  1","Tel(31) 2108-5464Fax(31) 2108-5466E-maildep.elismar.prado@almg.gov.br"
"1694880903-36","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Enes CândidoREPUBLICANOS","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - SE03","Tel(31) 2108-5077Fax(31) 2108-5078E-maildep.enes.candido@almg.gov.br"
"1694880903-37","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Fábio AvelarAVANTE","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 18º andar - sala 1","Tel(31) 2108-5016Fax(31) 2108-5017E-maildep.fabio.avelar@almg.gov.br"
"1694880903-38","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Gil PereiraPSD","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 1º andar - conjunto 107","Tel(31) 2108-5577Fax(31) 2108-5578E-maildep.gil.pereira@almg.gov.br"
"1694880903-39","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Grego da FundaçãoPMN","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 2º andar - conjunto 236","Tel(31) 2108-5110Fax(31) 2108-5113E-maildep.grego@almg.gov.br"
"1694880903-40","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Gustavo SantanaPL","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 3º andar - sala  2","Tel(31) 2108-5775Fax(31) 2108-5777E-maildep.gustavo.santana@almg.gov.br"
"1694880903-41","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Ione PinheiroUNIÃO","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 219","Tel(31) 2108-7195Fax(31) 2108-7523E-maildep.ione.pinheiro@almg.gov.br"
"1694880903-42","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","João JuniorPMN","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 232","Tel(31) 2108-5330Fax(31) 2108-5331E-maildep.joao.junior@almg.gov.br"
"1694880903-43","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","João MagalhãesMDB","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 243","Tel(31) 2108-5220Fax(31) 2108-5222E-maildep.joao.magalhaes@almg.gov.br"
"1694880903-44","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","João Vítor XavierCIDADANIA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 208","Tel(31) 2108-5300Fax(31) 2108-5299E-maildep.joao.vitor.xavier@almg.gov.br"
"1694880903-45","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Leandro GenaroPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 227","Tel(31) 2108-7386Fax(31) 2108-7514E-maildep.leandro.genaro@almg.gov.br"
"1694880903-46","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Leleco PimentelPT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 214","Tel(31) 2108-5155Fax(31) 2108-5160E-maildep.leleco.pimentel@almg.gov.br"
"1694880903-47","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","LeninhaPT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 17º andar - Sala  2","Tel(31) 2108-5188Fax(31) 2108-5474E-maildep.leninha@almg.gov.br"
"1694880903-48","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Leonídio BouçasPSDB","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 201","Tel(31) 2108-5915Fax(31) 2108-5916E-maildep.leonidio.boucas@almg.gov.br"
"1694880903-49","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","LohannaPV","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 231","Tel(31) 2108-5140Fax(31) 2108-5135E-maildep.lohanna@almg.gov.br"
"1694880903-50","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Lucas LasmarREDE","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 234","Tel(31) 2108-5244Fax(31) 2108-5245E-maildep.lucas.lasmar@almg.gov.br"
"1694880903-51","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Lud FalcãoPODE","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 212","Tel(31) 2108-5275Fax(31) 2108-5277E-maildep.lud.falcao@almg.gov.br"
"1694880903-52","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","LuizinhoPT","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 2º andar - conjunto 239","Tel(31) 2108-5400Fax(31) 2108-5399E-maildep.luizinho@almg.gov.br"
"1694880903-53","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Macaé EvaristoPT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 203","Tel(31) 2108-5999Fax(31) 2108-5997E-maildep.macae.evaristo@almg.gov.br"
"1694880903-54","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Maria Clara MarraPSDB","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 246","Tel(31) 2108-5747Fax(31) 2108-5748E-maildep.maria.clara.marra@almg.gov.br"
"1694880903-55","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Mário Henrique CaixaPV","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 20º andar - sala 2","Tel(031) 2108-5559Fax(031) 2108-5557E-maildep.mario.henrique.caixa@almg.gov.br"
"1694880903-56","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Marli RibeiroPSC","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - SE01","Tel(31) 2108-7475Fax(31) 2108-7543E-maildep.marli.ribeiro@almg.gov.br"
"1694880903-57","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Marquinho LemosPT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 22º andar  - sala 1","Tel(31) 2108-5935Fax(31) 2108-5936E-maildep.marquinho.lemos@almg.gov.br"
"1694880903-58","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Mauro TramonteREPUBLICANOS","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - Conjunto 242","Tel(31) 2108-5177Fax(31) 2108-5176E-maildep.mauro.tramonte@almg.gov.br"
"1694880903-59","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Nayara RochaPP","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 2º andar - conjunto 224","Tel(31) 2108-5051Fax(31) 2108-5055E-maildep.nayara.rocha@almg.gov.br"
"1694880903-60","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Neilando PimentaPSB","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 103","Tel(31) 2108-5190Fax(31) 2108-5191E-maildep.neilando.pimenta@almg.gov.br"
"1694880903-61","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Noraldino JúniorPSB","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 16º andar - sala 2","Tel(31) 2108-5965Fax(31) 2108-5966E-maildep.noraldino.junior@almg.gov.br"
"1694880903-62","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Oscar TeixeiraPP","Rua Rodrigues Caldas , 30 Palácio da Inconfidência - 2º andar - conjunto 211","Tel(31) 2108-5240Fax(31) 2108-5235E-maildep.oscar.teixeira@almg.gov.br"
"1694880903-63","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Professor CleitonPV","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - Conjunto 217","Tel(31) 2108-5842Fax(31) 2108-5849E-maildep.professor.cleiton@almg.gov.br"
"1694880903-64","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Professor Wendel MesquitaSOLIDARIEDADE","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - Conjunto 204","Tel(31) 2108-5459Fax(31) 2108-5460E-maildep.professorwendelmesquita@almg.gov.br"
"1694880903-65","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Rafael MartinsPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - Conjunto 209","Tel(31) 2108-5985Fax(31) 2108-5986E-maildep.rafael.martins@almg.gov.br"
"1694880903-66","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Raul BelémCIDADANIA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - Conjunto 247","Tel(31) 2108-5350Fax(31) 2108-5351E-maildep.raul.belem@almg.gov.br"
"1694880903-67","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Ricardo CamposPT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 205","Tel(31) 2108-5390Fax(31) 2108-5393E-maildep.ricardo.campos@almg.gov.br"
"1694880903-68","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Roberto AndradePATRIOTA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 106","Tel(31) 2108-5065Fax(31) 2108-5064E-maildep.roberto.andrade@almg.gov.br"
"1694880903-69","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Rodrigo LopesUNIÃO","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 225","Tel(31) 2108-5805Fax(31) 2108-5806E-maildep.rodrigo.lopes@almg.gov.br"
"1694880903-70","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Sargento RodriguesPL","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 5º andar - sala  1","Tel(31) 2108-5200Fax(31) 2108-5201E-maildep.sargento.rodrigues@almg.gov.br"
"1694880903-71","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Tadeu Martins LeiteMDB","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - Térreo - conjunto 1","Tel(31) 2108-5899Fax(31) 2108-5895E-maildep.tadeu.martins.leite@almg.gov.br"
"1694880903-72","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Thiago CotaPDT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 245","Tel(31) 2108-5385Fax(31) 2108-5386E-maildep.thiago.cota@almg.gov.br"
"1694880903-73","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Tito TorresPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 110","Tel(31) 2108-5979Fax(31) 2108-5976E-maildep.tito.torres@almg.gov.br"
"1694880903-74","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Ulysses GomesPT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 220","Tel(31) 2108-5855Fax(31) 2108-5859E-maildep.ulysses.gomes@almg.gov.br"
"1694880903-75","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Vitório JúniorPP","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 216","Tel(31) 2108-5485Fax(31) 2108-5491E-maildep.vitorio.junior@almg.gov.br"
"1694880903-76","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Zé GuilhermePP","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 248","Tel(31) 2108-5325Fax(31) 2108-5324E-maildep.ze.guilherme@almg.gov.br"
"1694880903-77","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Zé LaviolaNOVO","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 109","Tel(31) 2108-7136Fax(31) 2108-7548E-maildep.ze.laviola@almg.gov.br"
